,Unnamed: 0,drugbank_id,name,groups,indication,smiles,type
15,15,DB00121,Biotin,approved|investigational|nutraceutical,Biotin is a B-complex vitamin found in many multivitamin products.,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,small molecule
16,16,DB00122,Choline,approved|nutraceutical,Choline is a nutrient found in a wide variety of vitamins including pre-natal formulations.,C[N+](C)(C)CCO,small molecule
17,17,DB00123,Lysine,approved|nutraceutical,Lysine is an amino acid commonly found as a component of total parenteral nutrition.,NCCCC[C@H](N)C(O)=O,small molecule
18,18,DB00126,Ascorbic acid,approved|nutraceutical,Vitamin C is a vitamin used to correct vitamin C deficiency and to increase the intestinal absorption of iron.,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,small molecule
19,19,DB00128,Aspartic acid,approved|nutraceutical,Aspartic acid is an amino acid commonly found as a component in total parenteral nutrition.,N[C@@H](CC(O)=O)C(O)=O,small molecule
20,20,DB00129,Ornithine,approved|nutraceutical,Ornithine is an amino acid commonly found as a component in total parenteral nutrition.,NCCC[C@H](N)C(O)=O,small molecule
21,21,DB00130,L-Glutamine,approved|investigational|nutraceutical,L-Glutamine is an amino acid commonly found as a component in total parenteral nutrition.,N[C@@H](CCC(N)=O)C(O)=O,small molecule
22,22,DB00131,Adenosine phosphate,approved|investigational|nutraceutical|withdrawn,"For nutritional supplementation, also for treating dietary shortage or imbalance",NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,small molecule
23,23,DB00132,alpha-Linolenic acid,approved|investigational|nutraceutical,Linolenic acid is a polyunsaturated omega-3 fatty acid found in many supplements.,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,small molecule
24,24,DB00134,Methionine,approved|nutraceutical,Methionine is an amino acid commonly found as a component in total parenteral nutrition.,CSCC[C@H](N)C(O)=O,small molecule
25,25,DB00135,Tyrosine,approved|investigational|nutraceutical,Tyrosine is an amino acid commonly found as a component in total parenteral nutrition.,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,small molecule
26,26,DB00136,Calcitriol,approved|nutraceutical,Calcitriol is an active metabolite of vitamin D that is used to treat hyperparathyroidism and is also used in dialysis patients to combat hypocalcemia.,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,small molecule
27,27,DB00137,Lutein,approved|investigational|nutraceutical,"Xanthophylls are taken for nutritional supplementation, and also for treating dietary shortage or imbalance",C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,small molecule
28,28,DB00138,Cystine,approved|nutraceutical,"Cystine is an oxidated derivative of the amino acid cysteine found in various nutritional products, acne treatments, and creams to treat cervical injury or inflammation.",N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,small molecule
29,29,DB00139,Succinic acid,approved|nutraceutical,"For nutritional supplementation, also for treating dietary shortage or imbalance",OC(=O)CCC(O)=O,small molecule
30,30,DB00140,Riboflavin,approved|investigational|nutraceutical|vet_approved,Riboflavin is a vitamin used to correct vitamin B2 deficiency.,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,small molecule
31,31,DB00141,N-Acetylglucosamine,approved|investigational|nutraceutical,"For the treatment and prevention of osteoarthritis, by itself or in combination with chondroitin sulfate",[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,small molecule
32,32,DB00142,Glutamic acid,approved|nutraceutical,Glutamic acid is an amino acid commonly found as a component in total parenteral nutrition.,N[C@@H](CCC(O)=O)C(O)=O,small molecule
33,33,DB00143,Glutathione,approved|investigational|nutraceutical,"For nutritional supplementation, also for treating dietary shortage or imbalance",N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,small molecule
34,34,DB00145,Glycine,approved|nutraceutical|vet_approved,Glycine is an amino acid commonly used as a component of total parenteral nutrition and is also used as irrigation during surgery.,NCC(O)=O,small molecule
35,35,DB00146,Calcifediol,approved|nutraceutical,Calcifediol is an active metabolite of vitamin D used to treat hyperparathyroidism as well as to combat hypocalcemia in dialysis patients.,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,small molecule
36,36,DB00148,Creatine,approved|investigational|nutraceutical,"For nutritional supplementation, also for treating dietary shortage or imbalance",CN(CC(O)=O)C(N)=N,small molecule
37,37,DB00150,Tryptophan,approved|nutraceutical|withdrawn,Tryptophan is an amino acid commonly found as a component of total parenteral nutrition.,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,small molecule
38,38,DB00151,Cysteine,approved|nutraceutical,Cysteine is an amino acid commonly found as a component of total parenteral nutrition and used as an antidote for acetaminophen overdose.,N[C@@H](CS)C(O)=O,small molecule
39,39,DB00152,Thiamine,approved|investigational|nutraceutical|vet_approved,Thiamine is a vitamin used to correct vitamin B1 deficiency.,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,small molecule
40,40,DB00153,Ergocalciferol,approved|nutraceutical,Ergocalciferol is a vitamin found in many supplement products.,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,small molecule
41,41,DB00156,Threonine,approved|nutraceutical,Threonine is an amino acid commonly found as a component of total parenteral nutrition.,C[C@@H](O)[C@H](N)C(O)=O,small molecule
42,42,DB00157,NADH,approved|nutraceutical,NADH is a nutrient used in some supplement products.,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,small molecule
43,43,DB00158,Folic acid,approved|nutraceutical|vet_approved,Folic acid is a nutrient used to treat megaloblastic anemia and is found in many supplements.,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,small molecule
44,44,DB00159,Icosapent,approved|nutraceutical,"Icosapent is a polyunsaturated fatty acid, usually found in fish oils, that is used in many supplements.",CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,small molecule
45,45,DB00161,Valine,approved|nutraceutical,Valine is an amino acid commonly found as a component of total parenteral nutrition.,CC(C)[C@H](N)C(O)=O,small molecule
46,46,DB00162,Vitamin A,approved|nutraceutical|vet_approved,Vitamin A is a vitamin important for retinal function that is used clinically to correct vitamin A deficiency.,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,small molecule
47,47,DB00163,Vitamin E,approved|nutraceutical|vet_approved,Vitamin E is an antioxidant vitamin used in many skin creams and multivitamin preparations.,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,small molecule
48,48,DB00165,Pyridoxine,approved|investigational|nutraceutical|vet_approved,Pyridoxine is a vitamin used to correct vitamin B6 deficiency and to treat nausea during pregnancy.,CC1=C(O)C(CO)=C(CO)C=N1,small molecule
49,49,DB00166,Lipoic acid,approved|investigational|nutraceutical,"For nutritional supplementation, also for treating dietary shortage or imbalance",OC(=O)CCCC[C@@H]1CCSS1,small molecule
50,50,DB00169,Cholecalciferol,approved|nutraceutical,"Vitamin D3 is a form of Vitamin D used in the treatment of specific medical conditions such as refractory rickets, hypoparathyroidism, and familial hypophosphatemia, as well as osteoporosis and chronic kidney disease.",CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,small molecule
51,51,DB00170,Menadione,approved|nutraceutical,"The primary known function of vitamin K is to assist in the normal clotting of blood, but it may also play a role in normal bone calcification",CC1=CC(=O)C2=CC=CC=C2C1=O,small molecule
52,52,DB00173,Adenine,approved|nutraceutical,Adenine is a purine base which forms a component of DNA among other functions and is present in many multivitamins.,NC1=C2NC=NC2=NC=N1,small molecule
53,53,DB00174,Asparagine,approved|investigational|nutraceutical,"Used for nutritional supplementation, also for treating dietary shortage or imbalance",N[C@@H](CC(N)=O)C(O)=O,small molecule
54,54,DB00175,Pravastatin,approved,"Pravastatin is an HMG-CoA reductase inhibitor used to lower lipid levels and to reduce the risk of cardiovascular events, including myocardial infarction and stroke.",[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,small molecule
55,55,DB00176,Fluvoxamine,approved|investigational,Fluvoxamine is a selective serotonin-reuptake inhibitor used to treat obsessive-compulsive disorder.,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,small molecule
56,56,DB00177,Valsartan,approved|investigational,Valsartan is an angiotensin-receptor blocker used to manage hypertension alone or in combination with other antihypertensive agents and to manage heart failure in patients who are intolerant to ACE inhibitors.,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,small molecule
57,57,DB00178,Ramipril,approved,Ramipril is an ACE inhibitor used for the management of hypertension and the reduction of cardiovascular mortality following myocardial infarction in hemodynamically stable patients with clinical signs of congestive heart failure.,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,small molecule
58,58,DB00179,Masoprocol,approved|investigational,Used for the treatment of actinic keratoses (precancerous skin growths that can become malignant if left untreated),C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,small molecule
59,59,DB00180,Flunisolide,approved|investigational,Flunisolide is an inhaled corticosteroid used as a prophylactic therapy in the maintenance treatment of asthma.,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,small molecule
60,60,DB00181,Baclofen,approved,Baclofen is a GABA-ergic agonist used to manage severe spasticity of cerebral or spinal origin in adult and pediatric patients.,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,small molecule
61,61,DB00182,Amphetamine,approved|illicit|investigational,Amphetamine is a CNS stimulant and sympathomimetic agent indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD).,CC(N)CC1=CC=CC=C1,small molecule
62,62,DB00183,Pentagastrin,approved,"Pentagastrin is a gastrin-like molecule used as a diagnostic aid for the evaluation of gastric acid secretory function, gastric hypersecretion, and Zollinger-Ellison tumors.",CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,small molecule
63,63,DB00184,Nicotine,approved,Nicotine is a stimulatory alkaloid found in tobacco products that is often used for the relief of nicotine withdrawal symptoms and as an aid to smoking cessation.,CN1CCC[C@H]1C1=CN=CC=C1,small molecule
64,64,DB00185,Cevimeline,approved,Cevimeline is a muscarinic agonist with parasympathomimetic activities that is used for the symptomatic treatment of dry mouth in patients with Sjögren's Syndrome.,CC1O[C@@]2(CS1)CN1CCC2CC1,small molecule
65,65,DB00186,Lorazepam,approved,"Lorazepam is a short-acting benzodiazepine commonly used to treat panic disorders, severe anxiety, and seizures.",OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,small molecule
66,66,DB00187,Esmolol,approved|withdrawn,"Esmolol is a cardioselective beta-adrenergic blocker used for the short-term control of ventricular rate and heart rate in various types of tachycardia, including perioperative tachycardia and hypertension.",COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,small molecule
67,67,DB00188,Bortezomib,approved|investigational,Bortezomib is a proteasome inhibitor used to treat multiple myeloma in patients who have not been successfully treated with at least two previous therapies.,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,small molecule
68,68,DB00189,Ethchlorvynol,approved|illicit|withdrawn,Ethchlorvynol is a sedative hypnotic agent used for the short-term management of insomnia.,CCC(O)(\C=C\Cl)C#C,small molecule
69,69,DB00190,Carbidopa,approved,Carbidopa is a dopa decarboxylase inhibitor used in combination with levodopa for the symptomatic treatment of idiopathic Parkinson disease and other conditions associated with parkinsonian symptoms.,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,small molecule
70,70,DB00191,Phentermine,approved|illicit,Phentermine is a sympathomimetic anorectic agent used as a short-term adjunct therapy that is included in a regimen of weight reduction in cases of exogenous obesity.,CC(C)(N)CC1=CC=CC=C1,small molecule
71,71,DB00192,Indecainide,approved,For the treatment of life-threatening dysrhythmias and sustained ventricular tachycardia,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,small molecule
72,72,DB00193,Tramadol,approved|investigational,Tramadol is a centrally-acting opioid agonist and SNRI (serotonin/norepinephrine reuptake inhibitor) used for the management of moderate to severe pain in adults.,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C,small molecule
73,73,DB00194,Vidarabine,approved|investigational,Vidarabine is an antiviral agent used to treat various viral infections.,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,small molecule
74,74,DB00195,Betaxolol,approved|investigational,Betaxolol is a cardioselective beta blocking agent commonly used to treat hypertension and elevated intraocular pressure (when administered ophthalmically).,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,small molecule
75,75,DB00196,Fluconazole,approved|investigational,Fluconazole is a triazole antifungal used to treat various fungal infections including candidiasis.,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,small molecule
76,76,DB00197,Troglitazone,approved|investigational|withdrawn,For the treatment of Type II diabetes mellitus,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,small molecule
77,77,DB00198,Oseltamivir,approved,Oseltamivir is a neuraminidase inhibitor used in the prophylaxis and treatment of influenza.,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,small molecule
78,78,DB00199,Erythromycin,approved|investigational|vet_approved,Erythromycin is a macrolide antibiotic used to treat and prevent a variety of bacterial infections.,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,small molecule
79,79,DB00200,Hydroxocobalamin,approved,Hydroxocobalamin is a synthetic form of vitamin B12 used to treat vitamin B12 associated disorders and cyanide poisoning.,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H],small molecule
80,80,DB00201,Caffeine,approved,"Caffeine is a stimulant present in tea, coffee, cola beverages, analgesic drugs, and agents used to increase alertness. It is also used in to prevent and treat pulmonary complications of premature birth.",CN1C=NC2=C1C(=O)N(C)C(=O)N2C,small molecule
81,81,DB00202,Succinylcholine,approved,"Succinylcholine is a depolarizing skeletal muscle relaxant used adjunctly to anesthesia and for skeletal muscle relaxation during intubation, mechanical ventilation, and surgical procedures.",C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,small molecule
82,82,DB00203,Sildenafil,approved|investigational,Sildenafil is a phosphodiesterase inhibitor used for the treatment of erectile dysfunction.,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,small molecule
83,83,DB00204,Dofetilide,approved|investigational,Dofetilide is a class III antiarrhythmic drug used for the maintenance of normal sinus rhythm and cardioversion in cases of atrial fibrillation and atrial flutter.,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,small molecule
84,84,DB00205,Pyrimethamine,approved|investigational|vet_approved,Pyrimethamine is an antiparasitic drug used in the prevention and treatment of toxoplasmosis and malaria.,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,small molecule
85,85,DB00206,Reserpine,approved|investigational|withdrawn,For the treatment of hypertension,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,small molecule
86,86,DB00207,Azithromycin,approved,Azithromycin is a macrolide antibiotic used to treat a variety of bacterial infections.,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,small molecule
87,87,DB00208,Ticlopidine,approved,"Ticlopidine is a platelet aggregation inhibitor used in the prevention of conditions associated with thrombi, such as stroke and transient ischemic attacks (TIA).",ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,small molecule
88,88,DB00209,Trospium,approved,Trospium is an antimuscarinic agent used to treat the symptoms of overactive bladder (OAB).,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,small molecule
89,89,DB00210,Adapalene,approved,"Adapalene is a third-generation topical retinoid with anti-comedogenic, comedolytic, and anti-inflammatory properties used to treat acne vulgaris in adolescents and adults.",COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,small molecule
90,90,DB00211,Midodrine,approved,Midodrine is an alpha-adrenergic agonist used to treat orthostatic hypotension.,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,small molecule
91,91,DB00213,Pantoprazole,approved,"Pantoprazole is a proton pump inhibitor used to treat erosive esophagitis, gastric acid hypersecretion, and to promote healing of tissue damage caused by gastric acid.",COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,small molecule
92,92,DB00214,Torasemide,approved,"Torasemide is a diuretic used to treat hypertension and edema associated with heart failure, renal failure, or liver disease.",CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,small molecule
93,93,DB00215,Citalopram,approved,Citalopram is a selective serotonin reuptake inhibitor (SSRI) used in the treatment of depression.,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,small molecule
